stn_code,mrt_station_english,mrt_station_chinese,mrt_line_english,mrt_line_chinese
NS1,Jurong East,裕廊东,North South Line,南北线
NS2,Bukit Batok,武吉巴督,North South Line,南北线
NS3,Bukit Gombak,武吉甘柏,North South Line,南北线
NS4,Choa Chu Kang,蔡厝港,North South Line,南北线
NS5,Yew Tee,油池,North South Line,南北线
NS7,Kranji,克兰芝,North South Line,南北线
NS8,Marsiling,马西岭,North South Line,南北线
NS9,Woodlands,兀兰,North South Line,南北线
NS10,Admiralty,海军部,North South Line,南北线
NS11,Sembawang,三巴旺,North South Line,南北线
NS13,Yishun,义顺,North South Line,南北线
NS14,Khatib,卡迪,North South Line,南北线
NS15,Yio Chu Kang,杨厝港,North South Line,南北线
NS16,Ang Mo Kio,宏茂桥,North South Line,南北线
NS17,Bishan,碧山,North South Line,南北线
NS18,Braddell,布莱德,North South Line,南北线
NS19,Toa Payoh,大巴窑,North South Line,南北线
NS20,Novena,诺维娜,North South Line,南北线
NS21,Newton,纽顿,North South Line,南北线
NS22,Orchard,乌节,North South Line,南北线
NS23,Somerset,索美塞,North South Line,南北线
NS24,Dhoby Ghaut,多美歌,North South Line,南北线
NS25,City Hall,政府大厦,North South Line,南北线
NS26,Raffles Place,莱佛士坊,North South Line,南北线
NS27,Marina Bay,滨海湾,North South Line,南北线
NS28,Marina South Pier,滨海南码头,North South Line,南北线
EW1,Pasir Ris,巴西立,East West Line,东西线
EW2,Tampines,淡滨尼,East West Line,东西线
EW3,Simei,四美,East West Line,东西线
EW4,Tanah Merah,丹那美拉,East West Line,东西线
EW5,Bedok,勿洛,East West Line,东西线
EW6,Kembangan,景万岸,East West Line,东西线
EW7,Eunos,友诺士,East West Line,东西线
EW8,Paya Lebar,巴耶利峇,East West Line,东西线
EW9,Aljunied,阿裕尼,East West Line,东西线
EW10,Kallang,加冷,East West Line,东西线
EW11,Lavender,劳明达,East West Line,东西线
EW12,Bugis,武吉士,East West Line,东西线
EW13,City Hall,政府大厦,East West Line,东西线
EW14,Raffles Place,莱佛士坊,East West Line,东西线
EW15,Tanjong Pagar,丹戎巴葛,East West Line,东西线
EW16,Outram Park,欧南园,East West Line,东西线
EW17,Tiong Bahru,中峇鲁,East West Line,东西线
EW18,Redhill,红山,East West Line,东西线
EW19,Queenstown,女皇镇,East West Line,东西线
EW20,Commonwealth,联邦,East West Line,东西线
EW21,Buona Vista,波那维斯达,East West Line,东西线
EW22,Dover,杜弗,East West Line,东西线
EW23,Clementi,金文泰,East West Line,东西线
EW24,Jurong East,裕廊东,East West Line,东西线
EW25,Chinese Garden,裕华园,East West Line,东西线
EW26,Lakeside,湖畔,East West Line,东西线
EW27,Boon Lay,文礼,East West Line,东西线
EW28,Pioneer,先驱,East West Line,东西线
EW29,Joo Koon,裕群,East West Line,东西线
EW30,Gul Circle,卡尔圈 站,East West Line,东西线
EW31,Tuas Crescent,大士弯站,East West Line,东西线
EW32,Tuas West Road,大 士 西 路站,East West Line,东西线
EW33,Tuas Link,大士连路站,East West Line,东西线
CG1,Expo,博览,Changi Airport Branch Line,樟宜机场支线
CG2,Changi Airport,樟宜机场,Changi Airport Branch Line,樟宜机场支线
NE1,HarbourFront,港湾,North East Line,东北线
NE3,Outram Park,欧南园,North East Line,东北线
NE4,Chinatown,牛车水,North East Line,东北线
NE5,Clarke Quay,克拉码头,North East Line,东北线
NE6,Dhoby Ghaut,多美歌,North East Line,东北线
NE7,Little India,小印度,North East Line,东北线
NE8,Farrer Park,花拉公园,North East Line,东北线
NE9,Boon Keng,文庆,North East Line,东北线
NE10,Potong Pasir,波东巴西,North East Line,东北线
NE11,Woodleigh,兀里,North East Line,东北线
NE12,Serangoon,实龙岗,North East Line,东北线
NE13,Kovan,高文,North East Line,东北线
NE14,Hougang,后港,North East Line,东北线
NE15,Buangkok,万国,North East Line,东北线
NE16,Sengkang,盛港,North East Line,东北线
NE17,Punggol,榜鹅,North East Line,东北线
CC1,Dhoby Ghaut,多美歌,Circle Line,环线
CC2,Bras Basah,百胜,Circle Line,环线
CC3,Esplanade,滨海中心,Circle Line,环线
CC4,Promenade,宝门廊,Circle Line,环线
CC5,Nicoll Highway,尼诰大道,Circle Line,环线
CC6,Stadium,体育场,Circle Line,环线
CC7,Mountbatten,蒙巴登,Circle Line,环线
CC8,Dakota,达科达,Circle Line,环线
CC9,Paya Lebar,巴耶利峇,Circle Line,环线
CC10,MacPherson,麦波申,Circle Line,环线
CC11,Tai Seng,大成,Circle Line,环线
CC12,Bartley,巴特礼,Circle Line,环线
CC13,Serangoon,实龙岗,Circle Line,环线
CC14,Lorong Chuan,罗弄泉,Circle Line,环线
CC15,Bishan,碧山,Circle Line,环线
CC16,Marymount,玛丽蒙,Circle Line,环线
CC17,Caldecott,加利谷,Circle Line,环线
CC19,Botanic Gardens,植物园,Circle Line,环线
CC20,Farrer Road,花拉路,Circle Line,环线
CC21,Holland Village,荷兰村,Circle Line,环线
CC22,Buona Vista,波那维斯达,Circle Line,环线
CC23,one-north,纬壹,Circle Line,环线
CC24,Kent Ridge,肯特岗,Circle Line,环线
CC25,Haw Par Villa,虎豹别墅,Circle Line,环线
CC26,Pasir Panjang,巴西班让,Circle Line,环线
CC27,Labrador Park,拉柏多公园,Circle Line,环线
CC28,Telok Blangah,直落布兰雅,Circle Line,环线
CC29,HarbourFront,港湾,Circle Line,环线
CE1,Bayfront,海湾舫,Circle Line Extension,环线延长线
CE2,Marina Bay,滨海湾,Circle Line Extension,环线延长线
DT1,Bukit Panjang,武吉班让,Downtown Line,滨海市区线
DT2,Cashew,凯秀,Downtown Line,滨海市区线
DT3,Hillview,山景,Downtown Line,滨海市区线
DT5,Beauty World,美世界,Downtown Line,滨海市区线
DT6,King Albert Park,阿尔柏王园,Downtown Line,滨海市区线
DT7,Sixth Avenue,第六道,Downtown Line,滨海市区线
DT8,Tan Kah Kee,陈嘉庚,Downtown Line,滨海市区线
DT9,Botanic Gardens,植物园,Downtown Line,滨海市区线
DT10,Stevens,史蒂芬,Downtown Line,滨海市区线
DT11,Newton,纽顿,Downtown Line,滨海市区线
DT12,Little India,小印度,Downtown Line,滨海市区线
DT13,Rochor,梧槽,Downtown Line,滨海市区线
DT14,Bugis,武吉士,Downtown Line,滨海市区线
